session_id,query,intent,slot_annotation
0,打电话给551,phone_call.make_a_phone_call,打电话给<phone_num>551</phone_num>
0,导航到乐至浙江省乐清市,navigation.navigation,导航到<destination>乐至浙江省乐清市</destination>
0,导航到浙江省乐清市翁垟镇,navigation.navigation,导航到<destination>浙江省乐清市翁垟镇</destination>
1,导航到长兴岛,navigation.navigation,导航到<destination>长兴岛</destination>
1,导航到中南路233号,navigation.navigation,导航到<destination>中南路233号</destination>
1,一,OTHERS,一
1,取消,navigation.cancel_navigation,取消
2,导航结束,navigation.cancel_navigation,导航结束
2,退出,navigation.cancel_navigation,退出
2,我要拨电话号码,phone_call.make_a_phone_call,我要拨电话号码
2,打电话给28000023,phone_call.make_a_phone_call,打电话给<phone_num>28000023</phone_num>
3,金湖汽车客运站,navigation.navigation,<destination>金湖汽车客运站</destination>
3,不变形吗是他一个平庸不下,OTHERS,不变形吗是他一个平庸不下
3,打电话,phone_call.make_a_phone_call,打电话
3,估计是在说我们家这个事儿,OTHERS,估计是在说我们家这个事儿
3,走吧,OTHERS,走吧
3,播放像我这样的人,music.play,播放<song>像我这样的人</song>
3,听不懂,OTHERS,听不懂
4,13470005,OTHERS,13470005
4,导航中海国际,navigation.navigation,导航<destination>中海国际</destination>
4,导航怕新里派克公馆,navigation.navigation,导航<destination>怕新里派克公馆</destination>
5,我要,OTHERS,我要
5,海龙药店多堡乐,navigation.navigation,<destination>海龙药店多堡乐</destination>
5,这我的妈手里,OTHERS,这我的妈手里
5,给我来个音乐,music.play,给我来个音乐
5,人家一打电话就叫人,OTHERS,人家一打电话就叫人
5,你给我,OTHERS,你给我
6,阳光海岸,navigation.navigation,<destination>阳光海岸</destination>
6,阳光海岸,navigation.navigation,<destination>阳光海岸</destination>
6,唔再影,OTHERS,唔再影
6,打电话,phone_call.make_a_phone_call,打电话
6,武战营,OTHERS,武战营
6,赵臣,OTHERS,赵臣
6,十万个为什么,OTHERS,十万个为什么
7,你好房山阎村,navigation.navigation,你好<destination>房山阎村</destination>
7,打电话给四姐,phone_call.make_a_phone_call,打电话给<contact_name>四姐</contact_name>
7,打电话给徐姐,phone_call.make_a_phone_call,打电话给<contact_name>徐姐</contact_name>
8,不一样,OTHERS,不一样
8,我们不一样,music.play,<song>我们不一样</song>
8,怀念青春,music.play,<song>怀念青春</song>
8,大小年,OTHERS,大小年
8,太想念,music.play,<song>太想念</song>
8,太想念,music.play,<song>太想念</song>
8,请播太小念,music.play,请播<song>太小念||太想念</song>
8,太想念歌曲,music.play,<song>太想念</song>歌曲
9,我要去人民公园,navigation.navigation,我要去<destination>人民公园</destination>
9,雅楠,OTHERS,雅楠
9,打个电话,phone_call.make_a_phone_call,打个电话
9,贾英华,phone_call.make_a_phone_call,<contact_name>贾英华</contact_name>
9,应宁,OTHERS,应宁
9,给你改个名字,OTHERS,给你改个名字
9,贾英华,OTHERS,贾英华
9,曾乐,OTHERS,曾乐
10,我要到杭州西湖,navigation.navigation,我要到<destination>杭州西湖</destination>
10,我要到兰溪市一建公司,navigation.navigation,我要到<destination>兰溪市一建公司</destination>
10,我饿了,OTHERS,我饿了
10,我想听大约在冬季,music.play,我想听<song>大约在冬季</song>
11,来一首张宇的千金难买,music.play,来一首<singer>张宇</singer>的<song>千金难买</song>
11,无情的情书,music.play,<song>无情的情书</song>
11,花桥流水,music.play,<song>花桥流水</song>
12,打电话给谭国胜,phone_call.make_a_phone_call,打电话给<contact_name>谭国胜</contact_name>
12,我要导航,navigation.open,我要导航
12,河北省沧州市公安局运河分局小王庄派出所,navigation.navigation,<destination>河北省沧州市公安局运河分局小王庄派出所</destination>
13,哈尔滨太平国际机场,navigation.navigation,<destination>哈尔滨太平国际机场</destination>
13,我写的我查了一下,OTHERS,我写的我查了一下
13,播放一首青藏高原,music.play,播放一首<song>青藏高原</song>
13,请播放童安格的歌曲,music.play,请播放<singer>童安格</singer>的歌曲
13,拨打10086,phone_call.make_a_phone_call,拨打<phone_num>10086</phone_num>
13,播放一首南山南,music.play,播放一首<song>南山南</song>
13,拨打13300002470,phone_call.make_a_phone_call,拨打<phone_num>13300002470</phone_num>
13,拨打13800004470,phone_call.make_a_phone_call,拨打<phone_num>13800004470</phone_num>
13,请播放音乐,music.play,请播放音乐
13,请播放这条街,music.play,请播放<song>这条街</song>
14,导航结束,navigation.cancel_navigation,导航结束
14,导航结束,navigation.cancel_navigation,导航结束
14,没事没有事情,OTHERS,没事没有事情
14,没事儿,OTHERS,没事儿
14,好的谢谢,OTHERS,好的谢谢
14,好的,OTHERS,好的
15,我要听记事本,music.play,我要听<song>记事本</song>
15,记事本,music.play,<song>记事本</song>
15,我要听记事本,music.play,我要听<song>记事本</song>
15,播放音乐,music.play,播放音乐
16,取消,OTHERS,取消
16,百盛超市,navigation.navigation,<destination>百盛超市</destination>
16,百胜集团超市,navigation.navigation,<destination>百胜集团超市</destination>
17,你和叮当到临沂建材市场,navigation.navigation,你和叮当到<destination>临沂建材市场</destination>
17,你好叮当到临沂临西十一路华东门业精品批发城的路,navigation.navigation,你好叮当到<destination>临沂临西十一路华东门业精品批发城</destination>的路
17,给打电话,phone_call.make_a_phone_call,给打电话
18,嗯我就打电话,phone_call.make_a_phone_call,嗯我就打电话
18,取消,phone_call.cancel,取消
18,取消导航,navigation.cancel_navigation,取消导航
19,导航到翟家村,navigation.navigation,导航到<destination>翟家村</destination>
19,药吉田生,OTHERS,药吉田生
19,我要打超凯锐,phone_call.make_a_phone_call,我要打<contact_name>超凯锐</contact_name>
19,我想听最炫民族风,music.play,我想听<song>最炫民族风</song>
19,请问一下叮当感冒了要怎么办,OTHERS,请问一下叮当感冒了要怎么办
19,讲个笑话给叮当听,OTHERS,讲个笑话给叮当听
20,我想听兄弟难当,music.play,我想听<song>兄弟难当</song>
20,我想听兄弟难当污染首要污染物为颗粒物pm2.5,music.play,我想听<song>兄弟难当</song>污染首要污染物为颗粒物pm2.5
20,我想听兄弟难当,music.play,我想听<song>兄弟难当</song>
21,播放刘德华音乐,music.play,播放<singer>刘德华</singer>音乐
21,播放刘德华音乐,music.play,播放<singer>刘德华</singer>音乐
21,给老子唱首歌,music.play,给老子唱首歌
22,怎么可以帮我找个老婆,OTHERS,怎么可以帮我找个老婆
22,打电话,phone_call.make_a_phone_call,打电话
22,老婆,phone_call.make_a_phone_call,<contact_name>老婆</contact_name>
22,章亭,phone_call.make_a_phone_call,<contact_name>章亭</contact_name>
